iteration,max_L,min_L,c_exact_avg,g_exact_avg_0,c_avg,g_avg_0,c_pi_exact,g_pi_exact_0,c_pi,g_pi_0,lambda_0,c_br_exact,g_br_exact_0,c_br,g_br_0
0.0,1.8819483518600462,0.8825511038303374,0.0,0.0,-0.11684614419937134,0.1666264832019806,0.0,0.0,-0.11684614419937134,0.1666264832019806,15.0,0.0,0.0,-0.11684614419937134,0.1666264832019806
1.0,1.7508148066699503,1.230231397224814,0.0,0.0,0.0022203437983989716,0.15828648209571838,0.0,0.0,0.12128683179616928,0.14994648098945618,28.964637577647423,0.0,0.0,0.1304045170545578,0.15003234148025513
2.0,1.8505172058939934,-7.691189119977746,0.0,0.0,0.03507613390684128,0.16051470239957175,0.0,0.0,0.10078771412372589,0.16497114300727844,29.91199736835345,0.0,0.0,0.06006167456507683,-0.21476463973522186
3.0,0.06001117825508118,1.3789429834994364,0.0,0.0,0.06001117825508118,0.07094290107488632,0.0,0.0,0.13481630384922028,-0.19777250289916992,29.99657317880277,0.0,0.0,-0.11400991678237915,0.15749135613441467
4.0,0.016397055238485336,1.7892362090086857,-0.050837316566580026,0.0,0.016397055238485336,0.027943089604377747,-0.25418658283290013,0.0,-0.15805943310260773,-0.14405615627765656,0.08952735032961177,0.0,0.0,0.09386402368545532,0.18153749406337738
5.0,-0.013131852261722088,-4.123195755484508,-0.08472886094430004,0.0,-0.013131852261722088,7.748107115427653e-05,-0.25418658283290013,0.0,-0.16077639162540436,-0.13925056159496307,4.504448295802172e-07,0.0,0.0,0.1262778490781784,-0.14524981379508972
6.0,-0.03201262280344963,0.25592614467104646,-0.10893710692838576,0.0,-0.03201262280344963,0.013915085366794042,-0.25418658283290013,0.0,-0.14529724419116974,0.09694071114063263,2.8733046660268156e-12,-0.25418658283290013,0.0,-0.16712607443332672,0.12848487496376038
7.0,-0.04773753881454468,1.1499653097442704,-0.12709329141645007,0.0,-0.04773753881454468,0.028514590114355087,-0.25418658283290013,0.0,-0.15781190991401672,0.1307111233472824,2.4657558071355215e-12,0.0,0.0,0.1315513551235199,0.17836761474609375
8.0,-0.06155428662896156,-3.343403415969749,-0.14121476824050008,0.0,-0.06155428662896156,0.039334515730539955,-0.25418658283290013,0.0,-0.17208823561668396,0.12589392066001892,1.1450742136702555e-11,0.0,0.0,0.08440913259983063,-0.1967439502477646
9.0,-0.07055701315402985,0.10526741035099524,-0.15251194969974008,0.0,-0.07055701315402985,0.0202923446893692,-0.25418658283290013,0.0,-0.1515815705060959,-0.1510871946811676,4.1793907542344916e-11,-0.25418658283290013,0.0,-0.15790042281150818,0.1253136694431305
10.0,-0.07877469807863235,-2.9939921169373243,-0.161755098166391,0.0,-0.07877469807863235,0.029395176605744797,-0.25418658283290013,0.0,-0.16095151007175446,0.12042349576950073,1.4751080100325055e-16,0.0,0.0,-0.1092490404844284,-0.20522642135620117
11.0,-0.08542919158935547,0.06240951434984915,-0.1694577218886001,0.0,-0.08542919158935547,0.013588961213827133,-0.25418658283290013,0.0,-0.1586286723613739,-0.16027940809726715,4.095570413525233e-16,-0.25418658283290013,0.0,-0.14863763749599457,0.12436032295227051
12.0,-0.09116745740175247,0.5803205718802271,-0.17597532657662315,0.0,-0.09116745740175247,0.0011150814019716703,-0.25418658283290013,0.0,-0.16002671420574188,-0.14857147634029388,9.12890867617283e-22,0.0,0.0,0.12811575829982758,0.15654586255550385
